reviews,titles
몇번을 봐도 눈물이 흐릅니다 노대통령님   당신의 길지  않은 삶은  이회영  독립운동가가   대에 하셨던 말씀  한 번 뿐인 삶을 어떻게 살아야할까  에 답을 주신 삶이었습니다  당신이 얼마나 훌륭한 분이었는지 늘 가슴속에 새기며 살아가고 있습니다  당신이 없는 여전히 악의 무리가 가진자들이 되어 권력을 행사하는 이 나라가 너무나 걱정되고 그런 무리들에 맞서 국민만 보며 몸상하시는 거 상관치 않고 가는 문대통령님께 너무나 죄송하지만 그래도 전 행복합니다 두대통령님이 대통령인 나라에 살고 있으니까요  노대통령님  너무나 뵙고 싶습니다  영화속 당신이 아닌 진짜 당신을   ,변호인
가슴 벅찬 이야기,변호인
가슴아프네요,변호인
그립고 그리운 우리의  영원한 대통령님 ,변호인
오늘 노무현대통령 서거   주기 추도식  지금 영화채널      에서 해주네요   다시 봅니다   아     년대 전두환 정권 검 경 법이 국민들에게 저지른 짓에 눈물이 나네요,변호인
 ,변호인
사람사는 세상  사람이 먼저다  깊은 울림이 있는 영화  아들들과 같이 봤네요  그립습니다  그분 ,변호인
영화   번 봐도 질리지않고 너무조타 이런 사건들이 더 많이알려졌으면좋게다,변호인
진정한 국민을 위한 정치 국민 위에 국가 보고싶은 노 대통령님,변호인
지금 딱 필요한 영화가 아닌가 싶네요 국가는 곧 국민이다 국민을 위한 정치를 해주시길,변호인
  점 그 이상도 줄 수 있는 영화,변호인
                    ,변호인
     이런 쓰레기 보다          배는 훨씬 좋다 ,변호인
적절한 시대상과 연기력의 조화 ,변호인
좋은 영화고  변호인의 대사가 마음을 울렸다,변호인
모든 권력은 국민에게서 나온다    깊은 울림  ,변호인
최고였죠      ,변호인
나의 평점은    점,변호인
최고  ,변호인
용기있는 영화,변호인
다시봐도 정말 재미있습니다  최고의 걸작입니다 ,변호인
좋은 영화입니다 ,변호인
영화관에서는 마지막에 노무현 대통령님 시위하는 사진 있었는데 영화     는 없네 왜지운거지,변호인
송강호라는 한국영화의 얼굴,변호인
  ,변호인
지금 봐도 촌스럽지않고 감동적인 영화  송강호 정말 멋진배우입니다 ,변호인
한국 영화  역사에 남을,변호인
아픈 역사 의 단면을 볼수 있는 영화 송강호  짱  ,변호인
곽도원 연기   ,변호인
최고의 한국영화중  편  강호형님의 극강 연기력 강추  ,변호인
지금도 뻔뻔하게 살아 숨쉬는 살인마와 그의 개 수구꼴통들에게 이 영화를 바친다 ,변호인
꼭 봐야하는 영화    ,변호인
재밌다,변호인
좋은영화  ,변호인
평점 너무 높네 이때부터인가 한국영화계가 변한건,변호인
두고두고 기억될 분,변호인
구설수에 오른  배우들이  많아   거슬리지만      작품때문에  다시보네요 ,변호인
영원히 기억될 우리들의 대통령 송강호씨 연기도 최고에요,변호인
보는 내내 가슴이 아리다가 마지막 장면에서 슬픈 따스함으로 위안을 받네요 송강호님 연기 대단합니다   ,변호인
내가 너를 너는 나를 우리가 서로에게 변호인이 되어준다면  민주주의는 우리를 지켜줄 것이다  권력과 폭력과 맹신으로부터 ,변호인
예전에 보면서 많이 울었는데   또 다시 생각나는건   너무나 그립습니다  ,변호인
노무현 대통령님  보고싶고 미안합니다 ,변호인
노무현 대통령님을 생각하면 아직도 몸 둘 바를 모르겠다  당시 쓰레기 조중동의 세치 혀에 속아 대통령님을 원망하곤 했다   하지만 이젠 확실히 안다  무지한 국민 앞에 시대를 너무 앞서 다녀가셨다는 걸      ,변호인
벼랑 끝에서 목숨을 던졌던 노동자들을 노동귀족이라고 조롱했던 노동자의 적  신도들에 의해 무려  의인 으로 박제되다   영화 역사에 치욕스러운 프로파간다로 기록 될 재활용도 안 될 쓰레기 ,변호인
항상 감사하고 죄송하고 그립습니다,변호인
내 인생 최고의 명작 ,변호인
 소수의견 의 김의성  변호인 의 곽도원  애국하는 쓰레기,변호인
잊지말아요,변호인
눈이 아닌 마음으로 봐야할 영화,변호인
신났네,변호인
송강호를 위한 송강호에 의한 송강호의 영화    노무현 역할에 이 사람 말고 누구를 떠올릴까     전반부의 유머코드가 후반부의 헤비함으로 바뀌는 부분이 압권이다    아  그리운 돼지국밥이여    ,변호인
우리나라에서 법은 어기기 위해 존재한다,변호인
