reviews,titles
여러 유명인 나오는거는 포레스트검프영화 참고 했을듯 ,국제시장
윤석열 같은 놈은 찍지 말아야지     노인님들아,국제시장
지금 봐도 감동적이다,국제시장
과연     만을 넘어설 정도로 잘 만든 영화일까요 ,국제시장
우리나라 현대사를 보여주는 영화  힘들게 일군 나라가       고 있어 안타깝지만 한번쯤은 봐야할 영화 ,국제시장
솔찬히  재밌다 웃다울다  배우들의 분장이 어색하지만 연기좋고  우리나라 현대사를 압축적으로 잘 만들었다 맘이 아리는 해피엔딩,국제시장
여동생 찾고   년 동안  월 항쟁이나      사태도 엮기지 않았다면 덕수는   년동안 꿀 빨았다는 소리네,국제시장
그 시대를 사신 분들에겐 너무 재밌을 듯 ,국제시장
황정민 잘생겼당,국제시장
 ,국제시장
최고의 영화,국제시장
      인당      싱가포르           대한민국               인당      싱가포르          대한민국                인당      싱가포르        대한민국     ,국제시장
열심히 살았을 뿐입니다 ,국제시장
펑펑 울면서 웃으면서 잘 봄  지금 누리는 평화와 번영의 소중함,국제시장
나이먹어가면서 보니까 너무나  가슴이 찡하네요,국제시장
참 고생 많으셨습니다 ,국제시장
한국 현대사를 담담하게 담은 영화  젊은 남진으로 나오는 아이돌 이제와 보니 새삼스럽네 ,국제시장
어르신들 고생 많으셨습니다  감사합니다,국제시장
기대없이 봤는데 너무 재미짐 재밌는 시대극  굴곡진 시대를 살아오신 분들에 대해 생각하게 되었음,국제시장
이거보고안울면 감정이썩은사람일거다,국제시장
딴 장면은 몰라도 무너진 탄광에서 달구 오달수 가 덕수 황정민  구해줄 때 짠했다    덕수 입안에 있는 탄 찌끄레기 긁어서 빼내주는데    진정한 친구란 저런 것이 아닐까   하는 생각이 들었다 ,국제시장
볼때마다 눈물이 흐른다,국제시장
다시봐도 좋은영화 미성년자 이지만 할아버지 할머니 세대분들이 열심히 살아오셨고 지금의 대한민국을 만들었다해도 생각함,국제시장
우리 부모 세대 어른들의 삶의 흔적을 잔잔히  조금은 다큐 비슷한 흐름으로  마음을 차분하게 해주는 작품     ,국제시장
여기에도 정치적인 댓글이 달리는게 안타깝습니다  정말 이분들이 계셨기에 현재 우리가 이렇게 살 수 있는 것이였습니다 ,국제시장
영화는 최곱니다  그렇지만 슬퍼요,국제시장
넘 옛시절생곽과 감동을 줘서 일하는 매장  에 한   번이상 틀어놨었다   일하면서 잠깐씩  봐도 그 때 그 시절을 잘 담아놓은 한폭의 그림이 나왔다   ,국제시장
최악의 어거지  멍청한 감동 짜내기  이건 윗 세대에 대한 모욕이다,국제시장
굿,국제시장
이영화 보면서 느낀점은 우리 부모님 누나 형들이 얼마나 개고생을 했는지 알수있었고 그 피땀을 어떤세력들이 가로챘는지 알수있는 영화였다  마치 지들이 나라를 잘 다스려서 대한민국이 이만큼 잘살수 있었다 라고 포장하는 나쁜 세력들  진실은 우리부모님 누나 형들이 피땀흘려 잘살게 된것이란걸 다시 한번 느꼈다  앞세대 선배님들 정말 고생하셨습니다 고개숙여 다시한번 감사드립니다 ,국제시장
정치미화라고 해서 선입견 갖게되어 안보다 이제야 봤네요    정말 감동적이고 재미있게 잘보았습니다  한국인이라면 공감하고 슬퍼할줄알고 뭉클해지는 영화입니다   ,국제시장
우리 할아버지 세대 가그렇게 힘든 시절들 을 격었다는 걸 알게되는 영화,국제시장
이 영화에 좌파 우파가 어디 있나  나는 영화 변호인도 감동이고 이 영화도 보면서 엄청 울었을 정도로 감동입니다  여기서 정치 얘기 안 하셨음 좋겠습니다  ,국제시장
박근혜때 박정희 미화영화라고해서 안봤다     에서 방영하기에 봤는데 어떤개넘이  박정희 미화영화라고 했냐 썩을넘 그때 시대배경도 잘 표현했고 연기도 좋았다  하여간에 선동하는 놈들이 문제야 ,국제시장
보고 싶어요  아버지 ,국제시장
우리들의 안녕을 위해 그저 눈감고 꾹 참아온 아버지의 모습을 잘 담아낸 작품,국제시장
